Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Log_Return,Year,Month,Quarter,Day_of_Week,Volatility_30d,MA_20,MA_50,MA_200,Month_Name,Price_Range,Gap_Up_Down,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_StdDev,BB_Upper,BB_Lower,BB_Width,Momentum_14,ROC_14,SMA_Cross,MACD_Signal,RSI_Signal
2002-08-12,28.79417226498404,29.742206222914568,28.79417226498404,29.519140243530277,212976,0.0,0.0,,,2002,8,3,Monday,,,,,August,0.9480339579305266,,,29.519140243530277,29.519140243530277,0.0,0.0,0.0,,,,,,,,0,0,0
2002-08-13,29.556316086923573,30.03033304428441,28.90570535545041,29.11947631835937,153576,0.0,0.0,-1.3539145174070621,0.013631635172531643,2002,8,3,Tuesday,,,,,August,1.1246276888339999,0.03717584339329605,,29.457653485811676,29.489535508332434,-0.03188202252075811,-0.006376404504151623,-0.02550561801660649,,,,,,,,0,-1,0
2002-08-14,29.184536031350767,29.184536031350767,26.563503316890145,27.11187744140625,822776,0.0,0.0,-6.894350897675183,0.07143532575507838,2002,8,3,Wednesday,,,,,August,2.621032714460622,0.06505971299139546,,29.096764863595457,29.313412688560124,-0.21664782496466728,-0.04843068859625475,-0.1682171363684125,,,,,,,,0,-1,0
2002-08-15,27.111877441406246,27.111877441406246,27.111877441406246,27.11187744140625,0,0.0,0.0,0.0,0.0,2002,8,3,Thursday,,,,,August,0.0,-3.552713678800501e-15,,28.79139756787404,29.15033600358576,-0.3589384357117211,-0.11053223801934803,-0.2484061976923731,,,,,,,,0,-1,0
2002-08-16,26.97245769500468,28.255088884805893,26.58209020083713,27.04681205749512,811856,0.0,0.0,-0.23998848494261038,0.0024027691887169664,2002,8,3,Friday,,,,,August,1.672998683968764,-0.1394197464015683,,28.522999797046516,28.994519414986453,-0.47151961793993635,-0.18272971400346572,-0.28878990393647064,,,,,,,,0,-1,0
2002-08-19,27.269875710703477,27.269875710703477,26.12666117309251,26.377609252929688,205880,0.0,0.0,-2.47423911972644,0.02505362872605136,2002,8,3,Monday,,,,,August,1.143214537610966,0.22306365320835653,,28.192939713336234,28.800674217797063,-0.6077345044608293,-0.26773067209493845,-0.3400038323658909,,,,,,,,0,-1,0
2002-08-20,26.563503316890145,28.794168491260905,26.386909557873285,27.11187744140625,3773624,0.0,0.0,2.7836798302522725,-0.02745639791476826,2002,8,3,Tuesday,,,,,August,2.40725893338762,0.1858940639604576,,28.02662244073162,28.67557816028663,-0.6489557195550084,-0.34397568158695246,-0.30498003796805595,,,,,,,,0,-1,0
2002-08-21,28.60826239727888,29.147341189734043,27.15833318138227,28.440963745117188,3011064,0.0,0.0,4.902228945905129,-0.04785857748112685,2002,8,3,Wednesday,,,,,August,1.989008008351771,1.4963849558726317,,28.09036725679094,28.658199314718523,-0.567832057927582,-0.3887469568550784,-0.17908510107250358,,,,,,,,0,-1,0
2002-08-22,29.37972042857498,30.9133027686928,29.231008846488177,29.667848587036133,6732480,0.0,0.0,4.3137948942731486,-0.0422334289628883,2002,8,3,Thursday,,,,,August,1.6822939222046251,0.9387566834577932,,28.333056692213276,28.73298814970501,-0.39993145749173564,-0.39098385698240984,-0.008947600509325804,,,,,,,,0,-1,0
2002-08-23,29.928077365037947,32.43757453539827,29.56559500771757,31.452363967895508,4841672,0.0,0.0,6.014980748011323,-0.05841022594956912,2002,8,3,Friday,,,,,August,2.8719795276807005,0.26022877800181377,,28.81295011924131,28.9344233954969,-0.12147327625558901,-0.3370817408370457,0.21560846458145666,,,,,,,,0,1,0
2002-08-26,31.95427183868071,32.15875057808726,31.089890371012103,31.34084129333496,2576912,0.0,0.0,-0.3545764467001056,0.00355206558910134,2002,8,3,Monday,,,,,August,1.0688602070751543,0.5019078707852032,,29.20185645371726,29.112676573114534,0.08917988060272464,-0.25182941654909163,0.34100929715181627,,,,,,,,0,1,0
2002-08-27,31.60108430685463,32.90230542537218,30.29986318833709,30.56010627746582,3694224,0.0,0.0,-2.491110588135914,0.025226638685320494,2002,8,3,Tuesday,,,,,August,2.6024422370350884,0.26024301351966983,,29.410817965063192,29.21989358825167,0.1909243768115232,-0.16327865787696869,0.3542030346884919,,,,,,,,0,1,0
2002-08-28,30.46717563434304,30.931897671696884,29.955981393253804,30.58800506591797,1674960,0.0,0.0,0.09129152954785447,-0.0009124988417489408,2002,8,3,Wednesday,,,,,August,0.9759162784430799,-0.09293064312278076,,29.591923672887006,29.321235179189912,0.2706884936970937,-0.07648522756215623,0.34717372125924995,,,,,,,,0,1,0
2002-08-29,30.402116250976427,31.136376502707865,30.299876835470936,30.58800506591797,1236544,0.0,0.0,0.0,0.0,2002,8,3,Thursday,,,,,August,0.8364996672369287,-0.18588881494154208,55.84945868867358,29.74516696412254,29.415069985614213,0.3300969785083261,0.004831213651940239,0.32526576485638586,,,,,,,,0,1,0
2002-08-30,30.68093882673588,33.55291945368338,30.67164382192664,32.753597259521484,3762384,0.0,0.0,7.079873920958901,-0.06840485523489229,2002,8,3,Friday,,,,,August,2.88127563175674,0.09293376081791038,64.30918057669527,30.208002394183914,29.662368302199937,0.5456340919839775,0.11299178931834769,0.4326423026656298,,,,,,3.2344570159912074,10.957151832022284,0,1,0
2002-09-02,33.27407686897878,34.184930352605306,32.753587948433726,33.08818817138672,2389568,0.0,0.0,1.0215394334067263,-0.010163569833018868,2002,9,3,Monday,,,,,September,1.4313424041715805,0.520479609457297,67.65918616343407,30.651107898368963,29.916132736954513,0.7349751614144502,0.2373884637375682,0.497586697676882,,,,,,3.9687118530273473,13.629063275856845,0,1,0
2002-09-03,33.274091011462126,33.413507593912385,31.22931446885831,31.536029815673828,986784,0.0,0.0,-4.690974155711347,0.04804567000896674,2002,9,3,Tuesday,,,,,September,2.184193125054076,0.18590284007540703,70.51729268293546,30.787249731800483,30.036125113155943,0.751124618644539,0.34013569471896243,0.4109889239255766,,,,,,4.424152374267578,16.318133570163052,0,1,-1
2002-09-04,31.13636191091262,32.5305273696102,30.773879458938627,32.223812103271484,1449856,0.0,0.0,2.1809412650156013,-0.02157498970434571,2002,9,3,Wednesday,,,,,September,1.7566479106715711,-0.39966790476120906,72.28528884201438,31.008259327411405,30.19817600131265,0.8100833260987557,0.4341252209949211,0.37595810510383454,,,,,,5.111934661865234,18.854963743890707,0,1,-1
2002-09-05,33.20902105713281,33.357732611004955,31.60108464925996,32.02862930297852,1061360,0.0,0.0,-0.605709838635593,0.006075517020101435,2002,9,3,Thursday,,,,,September,1.7566479617449957,0.9852089538613242,71.47442290366573,31.1652393236525,30.333765134769383,0.8314741888831172,0.5135950145725604,0.3178791743105568,,,,,,4.981817245483402,18.41924007492357,0,1,-1
2002-09-06,32.1587547834328,32.1587547834328,30.495050984756546,30.838943481445312,907472,0.0,0.0,-3.714445005683009,0.037851878494159025,2002,9,3,Friday,,29.925300216674806,,,September,1.6637037986762522,0.13012548045427508,68.4049906205542,31.11503996331293,30.371185753041676,0.7438542102712553,0.5596468537122994,0.18420735655895593,29.925300216674806,2.108356623129736,34.14201346293428,25.708586970415332,0.2818159360626805,4.461334228515625,16.913338072972305,0,1,0
2002-09-09,29.370426719607288,31.74050862261357,29.370426719607288,30.439287185668945,880848,0.0,0.0,-1.295946782407853,0.013044174357473745,2002,9,3,Monday,,29.97130756378174,,,September,2.370081903006284,-1.4685167618380248,64.11678996557147,31.011077997521546,30.376230303606658,0.6348476939148888,0.5746870217528173,0.06016067216207155,29.97130756378174,2.1090664998669575,34.18944056351565,25.753174564047825,0.2814780763740343,3.3274097442626953,12.272885754421981,0,1,0
2002-09-10,30.439287185668945,30.439287185668945,30.439287185668945,30.439287185668945,0,0.0,0.0,0.0,0.0,2002,9,3,Tuesday,,30.037298107147215,,,September,0.0,0.0,59.55568186647982,30.923110180313454,30.38090118375942,0.5422089965540344,0.5681914167130607,-0.025982420159026298,30.037298107147215,2.10164549486838,34.24058909688397,25.834007117410454,0.2798714434795724,1.9983234405517578,7.026215632003097,0,-1,0
2002-09-11,30.606589105079617,31.749806901530143,30.606589105079617,31.21072769165039,635936,0.0,0.0,2.534357987018332,-0.025027756296794507,2002,9,3,Wednesday,,30.242240619659423,,,September,1.143217796450525,0.16730191941067218,57.71380847748136,30.967359028211444,30.442369813973563,0.5249892142378805,0.5595509762180247,-0.03456176198014427,30.242240619659423,1.9986862025032086,34.23961302466584,26.244868214653007,0.2643568944033774,1.5428791046142578,5.200508894630285,0,-1,0
2002-09-12,31.59178113878101,32.1401521868683,31.154944435174887,31.368715286254883,781968,0.0,0.0,0.5061964468286329,-0.0050491957977240355,2002,9,3,Thursday,,30.455082511901857,,,September,0.9852077516934123,0.3810534471306184,49.5005591605531,31.029106144833513,30.510987997105513,0.5181181477279999,0.5512644105200198,-0.03314626279201993,30.455082511901857,1.870321142003898,34.195724795909655,26.71444022789406,0.2456497881787681,-0.083648681640625,-0.2659535598850682,0,-1,0
2002-09-13,30.271977899682465,31.396602338724133,30.21621071876583,30.47645378112793,338264,0.0,0.0,-2.8444311377900933,0.02885668949962941,2002,9,3,Friday,,30.626564598083498,,,September,1.1803916199583036,-1.0967373865724177,45.279136271568944,30.944082704263423,30.5084299070331,0.4356527972303219,0.5281420878620803,-0.09248929063175837,30.626564598083498,1.6899073383729915,34.00637927482948,27.246749921337514,0.2207113152323639,-0.8643875122070312,-2.758022683937511,0,-1,0
2002-09-16,30.7645861920821,30.931884921995945,29.649253762157677,29.881614685058597,288592,0.0,0.0,-1.9517989210335096,0.019710980490418317,2002,9,3,Monday,,30.80176486968994,,,September,1.2826311598382674,0.2881324109541694,46.217606024525054,30.78062608592422,30.461999149849806,0.3186269360744127,0.48623905750454677,-0.16761212143013404,30.80176486968994,1.3793090485692687,33.56038296682848,28.043146772551403,0.17912078147529256,-0.678491592407223,-2.2201872802632416,0,-1,0
2002-09-17,30.42068880445097,30.950472806891423,30.31845227453865,30.75528907775879,462952,0.0,0.0,2.9237857522373067,-0.02881858419471458,2002,9,3,Tuesday,,30.98393545150757,,,September,0.6320205323527723,0.5390741193923709,50.85219836181249,30.776728084667997,30.483724329694915,0.29300375497308195,0.4475919969982538,-0.15458824202517185,30.98393545150757,1.0728845507634361,33.12970455303444,28.838166349980696,0.13850849288562328,0.1672840118408203,0.5468941550137663,0,-1,0
2002-09-18,30.57870156107826,30.67164594272288,29.5563133629875,29.80726432800293,315432,0.0,0.0,-3.082477122419369,0.031309848790030397,2002,9,3,Wednesday,,31.052250480651857,,,September,1.1153325797353801,-0.1765875166805273,46.372992214745494,30.627579814411835,30.433616181421435,0.19396363299039976,0.39686632419668305,-0.2029026912062833,31.052250480651857,0.937383112581828,32.92701670581551,29.1774842554882,0.12074913709277153,-0.7807407379150391,-2.5524408546177546,0,-1,0
2002-09-19,29.556314468383796,30.54152551795076,29.18453692790097,29.55631446838379,490848,0.0,0.0,-0.8419083913829062,0.008454724582973127,2002,9,3,Thursday,,31.04667377471924,,,September,1.356988590049788,-0.2509498596191335,31.932650474032982,30.46276976117675,30.36863086934457,0.0941388918321806,0.3363208377237826,-0.24218194589160197,31.04667377471924,0.9463416778112838,32.939357130341804,29.153990419096672,0.12192503257232952,-3.1972827911376953,-9.761623328894798,0,-1,0
2002-09-20,28.496735302156008,29.5005330427824,28.37590595790902,29.07298851013184,501072,0.0,0.0,-1.6352714028975424,0.016487895404598385,2002,9,3,Friday,,30.927705001831054,,,September,1.1246270848733815,-1.0595791662277811,27.685820848534547,30.248957261015995,30.272657361254737,-0.023700100238741584,0.26431665013127775,-0.28801675037001934,30.927705001831054,1.0377979334921372,33.00330086881533,28.852109134846778,0.13422243046235677,-4.015199661254879,-12.134842924784428,0,-1,1
2002-09-23,29.277491220613808,29.351845619297112,28.459581489343485,28.58040809631348,248504,0.0,0.0,-1.6942888882809481,0.017088061725905077,2002,9,3,Monday,3.134903130335478,30.78968334197998,,,September,0.8922641299536274,0.2045027104819681,31.381655416259463,29.992257389523303,30.14730556385168,-0.15504817432837825,0.18044368523934656,-0.3354918595677248,30.78968334197998,1.1567101274504963,33.10310359688097,28.476263087078987,0.15027242919038242,-2.955621719360348,-9.372206129420146,0,-1,0
2002-09-24,28.478150932403526,28.478150932403526,27.30705144574247,27.61376953125,267912,0.0,0.0,-3.3821720172993786,0.03440690711139822,2002,9,3,Tuesday,3.185228138204357,30.64236650466919,,,September,1.1710994866610562,-0.10225716390995387,21.945571630204626,29.62633618055818,29.959636228103406,-0.3333000475452259,0.07769493868243207,-0.41099498622765795,30.64236650466919,1.3576540516159277,33.357674607901046,27.927058401437336,0.17722574415511314,-4.610042572021484,-14.306322781572621,0,-1,1
2002-09-25,26.97246231971104,28.069204954896875,26.767983533146687,27.82754898071289,379544,0.0,0.0,0.7741769888423233,-0.0077119561630578665,2002,9,3,Wednesday,2.920175947284032,30.504343700408935,,,September,1.3012214217501885,-0.6413072115389618,24.492047352244242,29.34959968827429,29.801703839407814,-0.45210415113352553,-0.028264879280759443,-0.4238392718527661,30.504343700408935,1.4966717917247137,33.49768728385836,27.511000116959508,0.19625687494527533,-4.201080322265632,-13.116640998042806,0,-1,1
2002-09-26,28.403796036696548,28.710511279900185,28.06919578456015,28.264379501342773,178136,0.0,0.0,1.5697772050734526,-0.015575836449772137,2002,9,3,Thursday,2.93185185672051,30.388162422180176,,,September,0.6413154953400344,0.5762470559836572,32.79492249887002,29.18264273643867,29.687827962514106,-0.5051852260754366,-0.12364894863969489,-0.3815362774357417,30.388162422180176,1.5778229703838391,33.54380836294786,27.2325164814125,0.20768915849050404,-2.574563980102539,-8.348418231809928,0,-1,0
2002-09-27,28.171433889028656,28.99863806131079,28.171433889028656,28.6082706451416,206288,0.0,0.0,1.216694475045843,-0.01209352242845389,2002,9,3,Friday,2.9367163327279204,30.180896091461182,,,September,0.8272041722821335,-0.09294561231411791,37.67195413871395,29.094277799316043,29.607860753819846,-0.5135829545038035,-0.20163574981251664,-0.3119472046912869,30.180896091461182,1.5220230187555623,33.22494212897231,27.136850053950056,0.20172005683902486,-1.8310165405273438,-6.015306893879568,0,-1,0
2002-09-30,28.171443101716743,28.608280000685063,26.97246112629841,27.56730461120605,202232,0.0,0.0,-3.6386891289157064,0.0370654044414218,2002,9,3,Monday,2.9810311606420044,29.90485191345215,,,September,1.6358188743866542,-0.4368275434248581,33.04052084520657,28.85935884729912,29.456708446959563,-0.5973495996604434,-0.280778519782102,-0.31657107987834143,29.90485191345215,1.4666293749565782,32.838110663365306,26.97159316353899,0.19617276543634615,-2.871982574462894,-9.435117704776763,0,-1,0
2002-10-01,27.697426299946592,28.069203834174065,26.860926847934785,27.334943771362305,240192,0.0,0.0,-0.8428855962555493,0.008464579650492127,2002,10,4,Tuesday,2.945531982565929,29.694797611236574,,,October,1.2082769862392801,0.13012168874054098,25.556697243645218,28.624833451001148,29.29954069321162,-0.6747072422104701,-0.35956426426777566,-0.3151429779426944,29.694797611236574,1.5205653910154064,32.735928393267386,26.65366682920576,0.2048258298874576,-3.875783920288086,-12.41811456169588,0,-1,1
2002-10-02,27.33494377136231,27.33494377136231,27.33494377136231,27.334943771362305,0,0.0,0.0,0.0,0.0,2002,10,4,Wednesday,2.800553490855857,29.450354194641115,,,October,0.0,3.552713678800501e-15,24.043063669091737,28.426388884902863,29.154014995296855,-0.7276261103939916,-0.4331766334930188,-0.2944494769009728,29.450354194641115,1.4851582801529841,32.42067075494708,26.480037634335147,0.20171686497722707,-4.033771514892578,-12.859218103395175,0,-1,1
2002-10-03,27.697424907558013,29.55631248524647,27.697424907558013,28.069202423095703,673264,0.0,0.0,2.6861538764263004,-0.026507100790314278,2002,10,4,Thursday,2.7270047789950262,29.252382850646974,,,October,1.8588875776884564,0.3624811361957079,34.1880352588348,28.371437121547913,29.07365850846714,-0.7022213869192271,-0.48698558417826054,-0.21523580274096654,29.252382850646974,1.3838244459305766,32.020031742508124,26.48473395878582,0.18922553461657154,-2.4072513580322266,-7.898725275979713,0,-1,0
2002-10-04,28.440985744701603,28.52463513548667,27.60448616397509,27.892614364624023,258296,0.0,0.0,-0.6291167658058594,0.006311040445846537,2002,10,4,Friday,2.466505616381228,29.10506639480591,,,October,0.9201489715115798,0.3717833216058999,36.17572532405498,28.29777208202116,28.986173757071352,-0.6884016750501907,-0.5272688023526466,-0.16113287269754406,29.10506639480591,1.3627021295379262,31.83047065388176,26.379662135730058,0.18728040143294278,-1.9890003204345739,-6.656267880427203,0,-1,0
